Shuffle,Fold,n_estimators,lr,depth,MSE,MSE_B,RMSE,RMSE_B,R-squared,R-squared_B,MAE,MAE_B,MAPE,MAPE_B
6,5,200,0.001,15,10817391.35,2410695.354,3288.980291,1552.641412,0.305864317,0.845309316,2655.380062,1123.973153,6.36998E+12,2.75088E+12
7,1,200,0.001,15,10462131.43,2366937.303,3234.521824,1538.485393,0.304494081,0.842649759,2601.495346,1140.014235,1.0549E+13,4.02058E+12
7,2,200,0.001,15,10358506.13,2536289,3218.463319,1592.573075,0.30731248,0.830394874,2580.781209,1173.17302,3.66259E+12,1.43047E+12
7,3,200,0.001,15,11093657.01,2399660.384,3330.71419,1549.083724,0.309258918,0.85058633,2709.496028,1121.913237,6.17638E+12,2.87052E+12
7,4,200,0.001,15,10734930.01,2535459.757,3276.420305,1592.312707,0.302217863,0.835192356,2615.902001,1152.282443,48.0793308,12.5793664
7,5,200,0.001,15,10729840.49,2550830.501,3275.643523,1597.131961,0.304072534,0.834555508,2634.359029,1164.72639,7.34897E+12,2.88191E+12
8,1,200,0.001,15,10500353.8,2449884.547,3240.424942,1565.210704,0.305045817,0.837857129,2597.134508,1145.060656,43.65016605,11.8085078
8,2,200,0.001,15,10721041.04,2484125.782,3274.300085,1576.110968,0.300737932,0.837977028,2628.613897,1158.904454,1.41987E+13,5.8682E+12
8,3,200,0.001,15,11002439.58,2434418.882,3316.992551,1560.26244,0.308085361,0.846905766,2681.193201,1123.207895,3.11313E+12,1.34594E+12
8,4,200,0.001,15,10092683.02,2448324.283,3176.898333,1564.712205,0.305200952,0.831452808,2543.781886,1153.792397,3.6816E+12,1.33071E+12
8,5,200,0.001,15,11115016.96,2572400.068,3333.919158,1603.87034,0.305604634,0.839292851,2703.91808,1171.146751,6.99336E+12,2.65903E+12
9,1,200,0.001,15,10325568.82,2355600.008,3213.342313,1534.796406,0.306844079,0.841868461,2582.083203,1138.874065,6.22408E+12,2.72069E+12
9,2,200,0.001,15,10519779.44,2533869.974,3243.420946,1591.813423,0.306455189,0.832947793,2594.049147,1155.564178,44.41946332,11.63361138
9,3,200,0.001,15,10976119.48,2681285.658,3313.02271,1637.463178,0.305508881,0.83034723,2676.922701,1174.503937,3.12084E+12,1.62675E+12
9,4,200,0.001,15,10543130.22,2508774.496,3247.018666,1583.911139,0.308758905,0.835516778,2617.995768,1168.815445,3.13457E+12,1.40446E+12
9,5,200,0.001,15,10996655.71,2309551.244,3316.120582,1519.720778,0.301846075,0.853371579,2674.805746,1114.339626,1.41938E+13,5.453E+12
10,1,200,0.001,15,10573212.42,2497129.246,3251.647647,1580.230757,0.302159966,0.835187577,2617.137895,1157.453869,3.70963E+12,1.33024E+12
10,2,200,0.001,15,10382920.11,2300640.181,3222.253887,1516.786136,0.304210551,0.84582746,2591.768651,1127.648375,1.3803E+13,5.4971E+12
10,3,200,0.001,15,10305141.37,2496356.013,3210.162203,1579.98608,0.306990317,0.832122741,2580.615571,1152.591719,3.111E+12,1.40395E+12
10,4,200,0.001,15,11164849.77,2562192.361,3341.384409,1600.684966,0.305730517,0.8406739,2692.164034,1163.661688,3.13468E+12,1.34489E+12
10,5,200,0.001,15,11023980.77,2532862.269,3320.23806,1591.496864,0.303582122,0.839991506,2672.483944,1150.752749,3.10228E+12,1.62733E+12
1,1,200,0.001,20,10515790.52,2561519.826,3242.805965,1600.474875,0.302404128,0.830074054,2599.722816,1179.94434,6.40194E+12,2.72069E+12
1,2,200,0.001,20,10624503.14,2357232.627,3259.524987,1535.328182,0.307014304,0.846248952,2610.174523,1107.778047,7.28685E+12,2.67465E+12
1,3,200,0.001,20,10725193.18,2517434.469,3274.934072,1586.642515,0.306610039,0.837246401,2630.555956,1153.791853,9.51198E+12,4.37665E+12
